"","X","subject","movement","errorrate"
"1",1,1,"sp1",0.0796928420895443
"2",2,2,"sp1",0.0665905882946472
"3",3,3,"sp1",0.061810966506787
"4",4,4,"sp1",0.0777241406941276
"5",5,5,"sp1",0.0863204421626132
"6",6,6,"sp1",0.0772277734108706
"7",7,7,"sp1",0.078436042663792
"8",8,8,"sp1",0.0772131316149537
"9",9,9,"sp1",0.0834413440564216
"10",10,10,"sp1",0.0772661664107431
"11",11,11,"sp1",0.077980946146887
"12",12,12,"sp1",0.070737430152621
"13",13,13,"sp1",0.0815495247011376
"14",14,14,"sp1",0.103039113958818
"15",15,15,"sp1",0.086499983763126
"16",16,16,"sp1",0.0740980943476048
"17",17,17,"sp1",0.0855476633789435
"18",18,18,"sp1",0.0882805656968669
"19",19,19,"sp1",0.0602130813631853
"20",20,20,"sp1",0.0616066902033972
"21",21,21,"sp1",0.0762953102434338
"22",22,22,"sp1",0.068001440597258
"23",23,23,"sp1",0.0488294256298518
"24",24,24,"sp1",0.0769389162287619
"25",25,25,"sp1",0.0648884482629816
"26",26,26,"sp1",0.0743340310800844
"27",27,27,"sp1",0.0767957750166064
"28",28,28,"sp1",0.0700828645860914
"29",29,29,"sp1",0.076648531926956
"30",30,30,"sp1",0.0740941500986568
"31",31,31,"sp1",0.0928647508793573
"32",32,32,"sp1",0.0719429926140277
"33",33,33,"sp1",0.0710793379818332
"34",34,34,"sp1",0.0729956078312714
"35",35,35,"sp1",0.0656589991051792
"36",36,36,"sp1",0.073323134272892
"37",37,37,"sp1",0.0765748114164411
"38",38,38,"sp1",0.0771339559186486
"39",39,39,"sp1",0.0706063767514093
"40",40,40,"sp1",0.0872672206011706
"41",41,41,"sp1",0.0699149400285251
"42",42,42,"sp1",0.0861637197415088
"43",43,1,"sp2",0.0956848349687665
"44",44,2,"sp2",0.0908200727046913
"45",45,3,"sp2",0.0858700724887534
"46",46,4,"sp2",0.0826439501640848
"47",47,5,"sp2",0.0912756421363709
"48",48,6,"sp2",0.0862420572415092
"49",49,7,"sp2",0.0889371312729015
"50",50,8,"sp2",0.0925794627012725
"51",51,9,"sp2",0.0836350820801661
"52",52,10,"sp2",0.0832859170286914
"53",53,11,"sp2",0.0835468343098502
"54",54,12,"sp2",0.0828475284860099
"55",55,13,"sp2",0.0978279819262644
"56",56,14,"sp2",0.0847528778303706
"57",57,15,"sp2",0.0891025739870736
"58",58,16,"sp2",0.0736734739812527
"59",59,17,"sp2",0.0952532441608035
"60",60,18,"sp2",0.0865557503095422
"61",61,19,"sp2",0.0808475437232202
"62",62,20,"sp2",0.0629534841181325
"63",63,21,"sp2",0.0824446814761553
"64",64,22,"sp2",0.0805263801350387
"65",65,23,"sp2",0.0663923555794287
"66",66,24,"sp2",0.0990643400207174
"67",67,25,"sp2",0.0959338189460512
"68",68,26,"sp2",0.0811699521442598
"69",69,27,"sp2",0.0792434612022346
"70",70,28,"sp2",0.0882277946926484
"71",71,29,"sp2",0.0850133045734791
"72",72,30,"sp2",0.0914155497910469
"73",73,31,"sp2",0.100376962098328
"74",74,32,"sp2",0.102982788944347
"75",75,33,"sp2",0.0988948955608158
"76",76,34,"sp2",0.103652998552129
"77",77,35,"sp2",0.0947294864627881
"78",78,36,"sp2",0.0938743730756523
"79",79,37,"sp2",0.0924485449595001
"80",80,38,"sp2",0.0956041674716839
"81",81,39,"sp2",0.0857829294241165
"82",82,40,"sp2",0.0816925087368052
"83",83,41,"sp2",0.0888973454481046
"84",84,42,"sp2",0.0896644981554
"85",85,1,"sp3",0.100472004016756
"86",86,2,"sp3",0.0908528938385792
"87",87,3,"sp3",0.0850212008406566
"88",88,4,"sp3",0.0914377730813517
"89",89,5,"sp3",0.0873428236764068
"90",90,6,"sp3",0.0906871133689114
"91",91,7,"sp3",0.10398284884937
"92",92,8,"sp3",0.0953114618339843
"93",93,9,"sp3",0.104248629237939
"94",94,10,"sp3",0.0911992754156439
"95",95,11,"sp3",0.0803145968186617
"96",96,12,"sp3",0.0885783077074161
"97",97,13,"sp3",0.0785844450069593
"98",98,14,"sp3",0.0989195144534158
"99",99,15,"sp3",0.100564626714924
"100",100,16,"sp3",0.0784721821909651
"101",101,17,"sp3",0.0883234488434718
"102",102,18,"sp3",0.0846787509453993
"103",103,19,"sp3",0.0615483147748925
"104",104,20,"sp3",0.0633011328474114
"105",105,21,"sp3",0.080281610386633
"106",106,22,"sp3",0.0895146122006539
"107",107,23,"sp3",0.0832712706785492
"108",108,24,"sp3",0.0973376009223594
"109",109,25,"sp3",0.0849740260153166
"110",110,26,"sp3",0.0915933496657297
"111",111,27,"sp3",0.0969710929923235
"112",112,28,"sp3",0.0767604437027579
"113",113,29,"sp3",0.0954383329177102
"114",114,30,"sp3",0.106646781813499
"115",115,31,"sp3",0.0850457396759029
"116",116,32,"sp3",0.0946922462715581
"117",117,33,"sp3",0.0910695812888396
"118",118,34,"sp3",0.0961218611941798
"119",119,35,"sp3",0.0869605277064457
"120",120,36,"sp3",0.107629773602512
"121",121,37,"sp3",0.0964011159384023
"122",122,38,"sp3",0.0924431170438576
"123",123,39,"sp3",0.0920515684238683
"124",124,40,"sp3",0.0853019058367561
"125",125,41,"sp3",0.0862546384049221
"126",126,42,"sp3",0.0735050440588203
"127",127,1,"sp4",0.091533384405455
"128",128,2,"sp4",0.0916457180586434
"129",129,3,"sp4",0.0990727782138437
"130",130,4,"sp4",0.113364849375498
"131",131,5,"sp4",0.0789766620948835
"132",132,6,"sp4",0.106913229644257
"133",133,7,"sp4",0.1038326494336
"134",134,8,"sp4",0.128284308645714
"135",135,9,"sp4",0.112476894039868
"136",136,10,"sp4",0.0889727812873513
"137",137,11,"sp4",0.082455988414823
"138",138,12,"sp4",0.0881340160432879
"139",139,13,"sp4",0.0922934713097817
"140",140,14,"sp4",0.0875695017214432
"141",141,15,"sp4",0.0876032625664611
"142",142,16,"sp4",0.0899990303564173
"143",143,17,"sp4",0.0872831155362459
"144",144,18,"sp4",0.0858201517397102
"145",145,19,"sp4",0.0667154530174037
"146",146,20,"sp4",0.074897333658406
"147",147,21,"sp4",0.0905793255984542
"148",148,22,"sp4",0.0752973716239244
"149",149,23,"sp4",0.0827524907187315
"150",150,24,"sp4",0.110741316669234
"151",151,25,"sp4",0.0870289348724597
"152",152,26,"sp4",0.0856242979015165
"153",153,27,"sp4",0.0974752682833742
"154",154,28,"sp4",0.0913554305670318
"155",155,29,"sp4",0.0771741283296326
"156",156,30,"sp4",0.0909196032964605
"157",157,31,"sp4",0.0842130490477754
"158",158,32,"sp4",0.109861742492534
"159",159,33,"sp4",0.0834337271673193
"160",160,34,"sp4",0.0960207253772533
"161",161,35,"sp4",0.0779796383981568
"162",162,36,"sp4",0.0905481737050234
"163",163,37,"sp4",0.0842200545880227
"164",164,38,"sp4",0.0999659664674024
"165",165,39,"sp4",0.0961323760905165
"166",166,40,"sp4",0.0901480446802232
"167",167,41,"sp4",0.0965624149480755
"168",168,42,"sp4",0.101425231410951
"169",169,1,"sp5",0.108195150328776
"170",170,2,"sp5",0.0997369410715204
"171",171,3,"sp5",0.100010595502277
"172",172,4,"sp5",0.102216160511469
"173",173,5,"sp5",0.0937407184248224
"174",174,6,"sp5",0.102799438469058
"175",175,7,"sp5",0.120676712259632
"176",176,8,"sp5",0.0999393369627339
"177",177,9,"sp5",0.0917619109903831
"178",178,10,"sp5",0.100077335068747
"179",179,11,"sp5",0.108319688253547
"180",180,12,"sp5",0.100270964209158
"181",181,13,"sp5",0.0946195797944855
"182",182,14,"sp5",0.0978942744113597
"183",183,15,"sp5",0.0987895568614069
"184",184,16,"sp5",0.08691762416037
"185",185,17,"sp5",0.104786629759639
"186",186,18,"sp5",0.0840360226139905
"187",187,19,"sp5",0.0874587889722348
"188",188,20,"sp5",0.101589206209938
"189",189,21,"sp5",0.0951539682096923
"190",190,22,"sp5",0.0866374113515544
"191",191,23,"sp5",0.0915102210319323
"192",192,24,"sp5",0.103080516732214
"193",193,25,"sp5",0.0923395995695873
"194",194,26,"sp5",0.0908823130945443
"195",195,27,"sp5",0.0900587183386733
"196",196,28,"sp5",0.0887108966452733
"197",197,29,"sp5",0.106175155584157
"198",198,30,"sp5",0.103148632934821
"199",199,31,"sp5",0.102814775693234
"200",200,32,"sp5",0.112765711289943
"201",201,33,"sp5",0.0891284442505223
"202",202,34,"sp5",0.112882547549209
"203",203,35,"sp5",0.0932067459460768
"204",204,36,"sp5",0.108506199819672
"205",205,37,"sp5",0.0927149435390185
"206",206,38,"sp5",0.106272498381094
"207",207,39,"sp5",0.09493837682788
"208",208,40,"sp5",0.0955409283145261
"209",209,41,"sp5",0.0944195750787844
"210",210,42,"sp5",0.110687188059888
