subject,movement,errorrate
1,sp1,0.079692842
2,sp1,0.066590588
3,sp1,0.061810967
4,sp1,0.077724141
5,sp1,0.086320442
6,sp1,0.077227773
7,sp1,0.078436043
8,sp1,0.077213132
9,sp1,0.083441344
10,sp1,0.077266166
11,sp1,0.077980946
12,sp1,0.07073743
13,sp1,0.081549525
14,sp1,0.103039114
15,sp1,0.086499984
16,sp1,0.074098094
17,sp1,0.085547663
18,sp1,0.088280566
19,sp1,0.060213081
20,sp1,0.06160669
21,sp1,0.07629531
22,sp1,0.068001441
23,sp1,0.048829426
24,sp1,0.076938916
25,sp1,0.064888448
26,sp1,0.074334031
27,sp1,0.076795775
28,sp1,0.070082865
29,sp1,0.076648532
30,sp1,0.07409415
31,sp1,0.092864751
32,sp1,0.071942993
33,sp1,0.071079338
34,sp1,0.072995608
35,sp1,0.065658999
36,sp1,0.073323134
37,sp1,0.076574811
38,sp1,0.077133956
39,sp1,0.070606377
40,sp1,0.087267221
41,sp1,0.06991494
42,sp1,0.08616372
1,sp2,0.095684835
2,sp2,0.090820073
3,sp2,0.085870072
4,sp2,0.08264395
5,sp2,0.091275642
6,sp2,0.086242057
7,sp2,0.088937131
8,sp2,0.092579463
9,sp2,0.083635082
10,sp2,0.083285917
11,sp2,0.083546834
12,sp2,0.082847528
13,sp2,0.097827982
14,sp2,0.084752878
15,sp2,0.089102574
16,sp2,0.073673474
17,sp2,0.095253244
18,sp2,0.08655575
19,sp2,0.080847544
20,sp2,0.062953484
21,sp2,0.082444681
22,sp2,0.08052638
23,sp2,0.066392356
24,sp2,0.09906434
25,sp2,0.095933819
26,sp2,0.081169952
27,sp2,0.079243461
28,sp2,0.088227795
29,sp2,0.085013305
30,sp2,0.09141555
31,sp2,0.100376962
32,sp2,0.102982789
33,sp2,0.098894896
34,sp2,0.103652999
35,sp2,0.094729486
36,sp2,0.093874373
37,sp2,0.092448545
38,sp2,0.095604167
39,sp2,0.085782929
40,sp2,0.081692509
41,sp2,0.088897345
42,sp2,0.089664498
1,sp3,0.100472004
2,sp3,0.090852894
3,sp3,0.085021201
4,sp3,0.091437773
5,sp3,0.087342824
6,sp3,0.090687113
7,sp3,0.103982849
8,sp3,0.095311462
9,sp3,0.104248629
10,sp3,0.091199275
11,sp3,0.080314597
12,sp3,0.088578308
13,sp3,0.078584445
14,sp3,0.098919514
15,sp3,0.100564627
16,sp3,0.078472182
17,sp3,0.088323449
18,sp3,0.084678751
19,sp3,0.061548315
20,sp3,0.063301133
21,sp3,0.08028161
22,sp3,0.089514612
23,sp3,0.083271271
24,sp3,0.097337601
25,sp3,0.084974026
26,sp3,0.09159335
27,sp3,0.096971093
28,sp3,0.076760444
29,sp3,0.095438333
30,sp3,0.106646782
31,sp3,0.08504574
32,sp3,0.094692246
33,sp3,0.091069581
34,sp3,0.096121861
35,sp3,0.086960528
36,sp3,0.107629774
37,sp3,0.096401116
38,sp3,0.092443117
39,sp3,0.092051568
40,sp3,0.085301906
41,sp3,0.086254638
42,sp3,0.073505044
1,sp4,0.091533384
2,sp4,0.091645718
3,sp4,0.099072778
4,sp4,0.113364849
5,sp4,0.078976662
6,sp4,0.10691323
7,sp4,0.103832649
8,sp4,0.128284309
9,sp4,0.112476894
10,sp4,0.088972781
11,sp4,0.082455988
12,sp4,0.088134016
13,sp4,0.092293471
14,sp4,0.087569502
15,sp4,0.087603263
16,sp4,0.08999903
17,sp4,0.087283116
18,sp4,0.085820152
19,sp4,0.066715453
20,sp4,0.074897334
21,sp4,0.090579326
22,sp4,0.075297372
23,sp4,0.082752491
24,sp4,0.110741317
25,sp4,0.087028935
26,sp4,0.085624298
27,sp4,0.097475268
28,sp4,0.091355431
29,sp4,0.077174128
30,sp4,0.090919603
31,sp4,0.084213049
32,sp4,0.109861742
33,sp4,0.083433727
34,sp4,0.096020725
35,sp4,0.077979638
36,sp4,0.090548174
37,sp4,0.084220055
38,sp4,0.099965966
39,sp4,0.096132376
40,sp4,0.090148045
41,sp4,0.096562415
42,sp4,0.101425231
1,sp5,0.10819515
2,sp5,0.099736941
3,sp5,0.100010596
4,sp5,0.102216161
5,sp5,0.093740718
6,sp5,0.102799438
7,sp5,0.120676712
8,sp5,0.099939337
9,sp5,0.091761911
10,sp5,0.100077335
11,sp5,0.108319688
12,sp5,0.100270964
13,sp5,0.09461958
14,sp5,0.097894274
15,sp5,0.098789557
16,sp5,0.086917624
17,sp5,0.10478663
18,sp5,0.084036023
19,sp5,0.087458789
20,sp5,0.101589206
21,sp5,0.095153968
22,sp5,0.086637411
23,sp5,0.091510221
24,sp5,0.103080517
25,sp5,0.0923396
26,sp5,0.090882313
27,sp5,0.090058718
28,sp5,0.088710897
29,sp5,0.106175156
30,sp5,0.103148633
31,sp5,0.102814776
32,sp5,0.112765711
33,sp5,0.089128444
34,sp5,0.112882548
35,sp5,0.093206746
36,sp5,0.1085062
37,sp5,0.092714944
38,sp5,0.106272498
39,sp5,0.094938377
40,sp5,0.095540928
41,sp5,0.094419575
42,sp5,0.110687188
